"dat.source","locID","session_nr","vrijwillID","year","date","Latitude","Longitude","BEKNR","BEKNAAM","coordinateUncertaintyInMeters","procambarus.clarkii","procambarus.virginalis","procambarus.acutus","faxonius.limosus","pacifastacus.leniusculus","faxonius.virilis","pontastacus.leptodactylus","CPUE_faxonius.limosus","CPUE_faxonius.virilis","CPUE_pacifastacus.leniusculus","CPUE_pontastacus.leptodactylus","CPUE_procambarus.acutus","CPUE_procambarus.clarkii","CPUE_procambarus.virginalis","valid_link","link_method","VHAS","geometry","VHAG","CATC","WVLC","distances"
"craywatch_data","I_1600_8","I_1600_8_1","otyyyjk1",2024,2024-10-01,50.7935364,4.2699178,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(143031.687411264, 164790.218687699),NA,NA,"VBRSPL0096",0
"craywatch_data","I_1600_9","I_1600_9_1","otyyyjk1",2024,2024-10-07,50.783287,4.242457,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6013514",c(141093.624047071, 163653.004520616),"6554","1",NA,0.171564069263009
"craywatch_data","I_1640_2","I_1640_2_1","yjq4y2nh",2024,2024-07-26,50.7220474025577,4.32813989590278,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(147132.386500945, 156834.100186035),NA,NA,"VBRSGR0021",0
"craywatch_data","I_1653_1","I_1653_1_1","yjq4y2nh",2024,2024-07-26,50.7268228025517,4.2879532959132,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7035070",c(144295.281090068, 157367.595815582),"7040","2",NA,6.08295613630494
"craywatch_data","I_1654_2","I_1654_2_1","mzc3ytq4",2024,2024-08-30,50.7562888025406,4.2657594959218,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7073473",c(142732.795686401, 160647.247184854),"6903","2",NA,0.0181649889014033
"craywatch_data","I_1730_1","I_1730_1_1","ownlnda3",2024,2024-06-26,50.9065872,4.2510468,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6037495",c(141720.998729042, 177367.999501764),"6","2",NA,1.36432177263383
"craywatch_data","I_1740_1","I_1740_1_1","yjmznwm3",2024,2024-10-03,50.8812453,4.1546679,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6007143",c(134933.997077311, 174564.004124071),"6140","1",NA,4.97083614636009
"craywatch_data","I_1745_1","I_1745_1_1","ndzmm2ex",2024,2024-09-01,50.960996,4.212466,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7004303",c(139020.063302769, 183425.596465925),"615","2",NA,0.0797801848270321
"craywatch_data","I_1750_1","I_1750_1_1","nmm2njmx",2025,2025-08-12,50.79551,4.19683,8,"Dijle- en Zennebekken",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(137879.111986055, 165019.10726275),NA,NA,"VBRLEN0040",0
"craywatch_data","I_1755_4","I_1755_4_1","otgzymmz",2024,2024-08-29,50.8004074,4.0705318,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6009673",c(128976.998744465, 165591.99353341),"6044","2",NA,0.618187498028458
"craywatch_data","I_1770_1","I_1770_1_1","yjmznwm3",2024,2024-09-28,50.8854042,4.0965682,7,"Denderbekken",2,0,0,0,1,0,0,0,0.833333333333333,0,0,0,0,0,0,TRUE,"<buffer","32493",c(130846.997808961, 175039.995287869),"5956","1",NA,0.877347118156337
"craywatch_data","I_1790_1","I_1790_1_1","yjmznwm3",2024,2024-09-28,50.8880448,4.1156538,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","32572",c(132191.000566192, 175329.001232008),"5956","1",NA,1.99544981799795
"craywatch_data","I_1800_1","I_1800_1_1","njfjm2i0",2025,2025-07-30,50.953136,4.4610634,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6032955",c(156486.25893221, 182543.854984804),"6873","2",NA,0.967741569021393
"craywatch_data","I_1840_3","I_1840_3_1","nty4mmqw",2024,2024-09-13,50.9808973,4.2640039,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","25292",c(142643.93467876, 185633.180421724),"6","1",NA,2.86615060650914
"craywatch_data","I_1980_2","I_1980_2_1","njfjm2i0",2025,2025-07-30,50.9535553,4.4420612,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6040832",c(155150.997605904, 182588.998133333),"6996","2",NA,0.119149651239226
"craywatch_data","I_1980_3","I_1980_3_1","ymjlzthm",2025,2025-08-12,50.9655389,4.4707173,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6015774",c(157162.695328481, 183924.501036643),"6552","0",NA,0.0866705659275611
"craywatch_data","I_1980_9","I_1980_9_1","njfjm2i0",2025,2025-08-04,50.9530568,4.455003,8,"Dijle- en Zennebekken",2,1,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,TRUE,"<buffer",NA,c(156060.427229253, 182534.528450726),NA,NA,"VBRVIL0060",0
"craywatch_data","I_1981_2","I_1981_2_1","mmmyngrm",2025,2025-05-02,50.9863328,4.4905038,8,"Dijle- en Zennebekken",2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.666666666666667,0,TRUE,"<buffer","6033077",c(158548.83712041, 186239.822550568),"6560","1",NA,3.16545336683996
"craywatch_data","I_1981_2","I_1981_2_2","mmmyngrm",2025,2025-05-30,50.9863328,4.4905038,8,"Dijle- en Zennebekken",2,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.333333333333333,0,TRUE,"<buffer","6033077",c(158548.83712041, 186239.822550568),"6560","1",NA,3.16545336683996
"craywatch_data","I_1981_3","I_1981_3_1","odcxnmmx",2025,2025-03-03,50.9876254,4.505414,8,"Dijle- en Zennebekken",2,1,0,0,1,0,0,0,0.125,0,0,0,0,1.58333333333333,0,TRUE,"<buffer",NA,c(159595.51363806, 186385.449670337),NA,NA,"VBRZEM0090",0
"craywatch_data","I_1982_5","I_1982_5_1","ymjlzthm",2025,2025-07-12,50.9609651,4.4781625,8,"Dijle- en Zennebekken",2,1,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,TRUE,"<buffer","6015140",c(157686.458119333, 183416.440467591),"6794","2",NA,1.94721150905449
"craywatch_data","I_1982_7","I_1982_7_1","ymjlzthm",2025,2025-07-18,50.9606829,4.4903475,8,"Dijle- en Zennebekken",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE,"<buffer","6015437",c(158542.561614074, 183386.386918133),"6560","2",NA,2.50650865628531
"craywatch_data","I_2020_1","I_2020_1_1","zdvjmdzk",2024,2024-09-25,51.18664,4.40863,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(152787.762271428, 208517.520425859),NA,NA,"ANTANT0077",0
"craywatch_data","I_2020_2","I_2020_2_1","zdvjmdzk",2024,2024-10-15,51.17985,4.4122,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(153037.81329194, 207762.25467344),NA,NA,"ANTANT0464",0
"craywatch_data","I_2030_4","I_2030_4_1","zjyxyjrl",2024,2024-08-10,51.3013959,4.3723865,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6015532",c(150252.998685308, 221284.003688877),"3104","1",NA,0.602416478731801
"craywatch_data","I_2100_2","I_2100_2_1","owmxyjiw",2024,2024-08-15,51.2157209,4.4590502,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6024268",c(156309.001111783, 211756.002423964),"3103","1",NA,0.629059042150256
"craywatch_data","I_2100_4","I_2100_4_1","owmxyjiw",2024,2024-09-06,51.2129726,4.4713983,4,"Benedenscheldebekken",2,0,0,0,1,0,0,0,0.733333333333333,0,0,0,0,0,0,TRUE,"<buffer",NA,c(157172.224089063, 211451.371332587),NA,NA,"ANTANT0477",0
"craywatch_data","I_2110_1","I_2110_1_1","nwqymjk4",2024,2024-09-10,51.2245608,4.5268978,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(161047.602353235, 212747.455540844),NA,NA,"ANTWIJ0037",0
"craywatch_data","I_2180_1","I_2180_1_1","nzi4mtm4",2024,2024-08-19,51.3017677,4.3725453,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(150264.071623818, 221325.370184822),NA,NA,"ANTANT0369",0.185834254222521
"craywatch_data","I_2200_5","I_2200_5_1","ytm3ngrh",2024,2024-09-22,51.2012885,4.7942723,10,"Netebekken",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TRUE,"<buffer","6011520",c(179741.013275425, 210231.941617317),"8504","1",NA,4.87310112325165
"craywatch_data","I_2220_1","I_2220_1_1","odcxnmmx",2024,2024-10-29,51.090445,4.7408571,10,"Netebekken",2,0,0,1,0,0,0,0,0,0,0,0,16.3333333333333,0,0,TRUE,"<buffer",NA,c(176069.54760269, 197880.501580347),NA,NA,"ANTHEI0433",0
"craywatch_data","I_2220_1","I_2220_1_2","odcxnmmx",2025,2025-02-18,51.090445,4.7408571,10,"Netebekken",2,0,0,1,0,0,0,0,0,0,0,0,4.69565217391304,0,0,TRUE,"<buffer",NA,c(176069.54760269, 197880.501580347),NA,NA,"ANTHEI0433",0
"craywatch_data","I_2220_2","I_2220_2_1","odcxnmmx",2025,2025-06-17,51.0907835,4.7412299,10,"Netebekken",2,NA,NA,1,NA,NA,NA,NA,0,0,0,0,5.5,0,0,TRUE,"<buffer",NA,c(176095.476626713, 197918.290188315),NA,NA,"ANTHEI0389",0
"craywatch_data","I_2220_3","I_2220_3_1","odcxnmmx",2025,2025-06-18,51.089962,4.744915,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7027620",c(176354.115824772, 197828.204025256),"8501","0",NA,3.2626687718179
"craywatch_data","I_2221_1","I_2221_1_1","mmm4mzq3",2024,2024-08-27,51.0701906025052,4.7628235958319,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6024996",c(177620.493758466, 195635.208682357),"8620","2",NA,1.07699421973786
"craywatch_data","I_2221_2","I_2221_2_1","ztfhota2",2024,2024-08-29,51.0486977025138,4.78322789582454,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","1501972",c(179063.999414182, 193252.002080022),"8956","2",NA,1.21015195579806
"craywatch_data","I_2222_5","I_2222_5_1","odcxnmmx",2025,2025-06-18,51.09293,4.740437,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7027548",c(176038.729058849, 198156.805000958),"8501","0",NA,2.15047393534604
"craywatch_data","I_2222_6","I_2222_6_1","odcxnmmx",2025,2025-06-19,51.092366,4.742324,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7027547",c(176171.24107862, 198094.725811037),"8501","0",NA,0.220530957679236
"craywatch_data","I_2235_1","I_2235_1_1","yjbjnzi1",2024,2024-09-13,51.0619956025121,4.80233249582118,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6016502",c(180395.000995419, 194739.003528667),"8518","2",NA,0.477991189468912
"craywatch_data","I_2260_1","I_2260_1_1","ztfhota2",2024,2024-09-16,51.1021604,4.8324878,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6011772",c(182480.999965982, 199220.00118426),"8507","1",NA,1.74531701869485
"craywatch_data","I_2270_3","I_2270_3_1","mmm4mzq3",2024,2024-07-31,51.1259324,4.7591022,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6016600",c(177327.002620041, 201834.994340289),"8507","1",NA,0.270106852620242
"craywatch_data","I_2275_1","I_2275_1_1","njdknmu2",2024,2024-08-19,51.225805,4.8581553,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7038280",c(184188.000273092, 212987.000510803),"8504","1",NA,1.72659202353382
"craywatch_data","I_2275_2","I_2275_2_1","yjq0ntkw",2024,2024-08-13,51.2668617,4.8841623,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6011542",c(185973.002142371, 217566.99618665),"8504","1",NA,0.769064934978004
"craywatch_data","I_2275_3","I_2275_3_1","yjq0ntkw",2024,2024-08-13,51.2679451,4.8376797,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6000515",c(182727.996629919, 217665.994556039),"8572","2",NA,0.0446655276317965
"craywatch_data","I_2300_4","I_2300_4_1","mzk5yjmz",2024,2024-09-21,51.3101635,4.9474125,10,"Netebekken",2,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,TRUE,"<buffer",NA,c(190349.923622449, 222417.073765432),NA,NA,"ANTTUR0205",0
"craywatch_data","I_2321_1","I_2321_1_1","zgjjotcy",2024,2024-08-06,51.4452341,4.7472234,11,"Maasbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6027806",c(176314.002367009, 237354.996928044),"9502","1",NA,2.01170976808021
"craywatch_data","I_2330_1","I_2330_1_1","njixzjg3",2024,2024-09-27,51.3604564,4.8320228,11,"Maasbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(182268.868592925, 227956.018147402),NA,NA,"ANTMRK0062",0
"craywatch_data","I_2340_1","I_2340_1_1","otuwnjq5",2024,2024-07-25,51.3128148,4.8376736,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6000571",c(182695.997737705, 222657.996023673),"8572","2",NA,1.22090410924178
"craywatch_data","I_2340_2","I_2340_2_1","otuwnjq5",2024,2024-07-30,51.3348974,4.8674389,10,"Netebekken",2,0,0,0,1,0,0,0,0.0833333333333333,0,0,0,0,0,0,TRUE,"<buffer",NA,c(184754.888781937, 225128.378767258),NA,NA,"ANTBSE0336",0
"craywatch_data","I_2360_3","I_2360_3_1","mzk5yjmz",2024,2024-08-13,51.3193559,4.9769205,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","1500445",c(192399.106827424, 223456.239535436),"8504","2",NA,3.01844550765852
"craywatch_data","I_2370_1","I_2370_1_1","zwy2zjg3",2024,2024-08-12,51.3343984,5.1183225,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","1000016",c(202239.999865228, 225219.998105188),"8508","2",NA,1.35258731722393
"craywatch_data","I_2380_1","I_2380_1_1","zde4odbk",2024,2024-09-29,51.359158,4.997395,10,"Netebekken",2,0,0,0,1,0,0,0,0.0833333333333333,0,0,0,0,0,0,TRUE,"<buffer","7064058",c(193788.958184235, 227896.36725509),"17","0",NA,6.90788045405789
"craywatch_data","I_2387_3","I_2387_3_1","njixzjg3",2024,2024-09-26,51.3986486,4.8996106,11,"Maasbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7053515",c(186946.244008932, 232236.811271408),"9670","2",NA,0.552929295445357
"craywatch_data","I_2400_2","I_2400_2_1","ztu0mthk",2024,2024-07-16,51.1790866,5.1125897,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6012047",c(202013.732259355, 207937.428122479),"8726","1",NA,0.551020167288026
"craywatch_data","I_2400_6","I_2400_6_1","mwnhmtq1",2024,2024-10-20,51.230458,5.1813304,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(206757.758972676, 213702.782032639),NA,NA,"ANTMOL0036",0
"craywatch_data","I_2400_8","I_2400_8_1","y2y0zdvk",2024,2024-09-04,51.2138313,5.0524223,10,"Netebekken",2,NA,NA,NA,1,NA,NA,NA,0.333333333333333,0,0,0,0,0,0,TRUE,"GRB/2 + buffer","7025502",c(197770.92363594, 211762.255288308),"5","0",NA,24.1982835719235
"craywatch_data","I_2431_2","I_2431_2_1","otyymtfh",2025,2025-07-19,51.0870393,4.9557391,10,"Netebekken",2,1,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,TRUE,"<buffer","6004432",c(191126.999814202, 197599.001256416),"8503","1",NA,3.57672819822887
"craywatch_data","I_2431_3","I_2431_3_1","ztyxmjnj",2025,2025-06-15,51.0738039,5.0334369,10,"Netebekken",2,1,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,TRUE,"<buffer","6004443",c(196583.955444536, 196172.571794913),"8503","1",NA,1.29221249972759
"craywatch_data","I_2440_1","I_2440_1_1","ztyxmjnj",2025,2025-07-05,51.1032353,4.9847864,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6016544",c(193147.188598947, 199417.241579381),"8501","0",NA,1.91876588166362
"craywatch_data","I_2450_1","I_2450_1_1","ztyxmjnj",2025,2025-05-28,51.13643,5.0916118,10,"Netebekken",2,0,0,0,1,0,0,0,0.0666666666666667,0,0,0,0,0,0,TRUE,"<buffer","28484",c(200593.108197424, 203177.519562921),"8501","1",NA,2.30510479653659
"craywatch_data","I_2460_10","I_2460_10_1","yjq0ntkw",2024,2024-08-20,51.2440713,4.9130423,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","1500306",c(188007.27874835, 215045.893561371),"9332","2",NA,0.846380009238477
"craywatch_data","I_2460_2","I_2460_2_1","owm5ndk2",2024,2024-08-13,51.1987613,4.9030521,10,"Netebekken",2,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,TRUE,"<buffer","6011610",c(187345.997277342, 210000.000240396),"8502","1",NA,0.119741882027153
"craywatch_data","I_2460_7","I_2460_7_1","njdknmu2",2024,2024-08-26,51.2432886,4.8728888,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6011535",c(185204.00294092, 214938.994009066),"8504","1",NA,0.161183109977587
"craywatch_data","I_2480_2","I_2480_2_1","zgu4nzuz",2024,2024-09-07,51.233302,5.1045285,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7072550",c(201390.233226653, 213963.192706469),"8502","2",NA,12.90069046718
"craywatch_data","I_2491_7","I_2491_7_1","ymfmywyx",2024,2024-08-29,51.150198,5.151801,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7076561",c(204789.471790563, 204751.901858349),"8501","1",NA,1.10920091549116
"craywatch_data","I_2500_1","I_2500_1_1","zgi0mju3",2024,2024-09-12,51.1348,4.518105,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6043750",c(160453.521061713, 202760.047096948),"8839","2",NA,1.32613714571808
"craywatch_data","I_2500_7","I_2500_7_1","zgi0mju3",2024,2024-10-14,51.1469777,4.5494446,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7039502",c(162643.796161132, 204119.723659637),"8612","2",NA,1.17038059359853
"craywatch_data","I_2520_1","I_2520_1_1","mmmwzmrh",2024,2024-09-03,51.1712784,4.6298545,10,"Netebekken",2,0,0,0,1,0,0,0,0.0833333333333333,0,0,0,0,0,0,TRUE,"<buffer","7033933",c(168260.998062494, 206840.001581654),"8505","1",NA,2.41012921004512
"craywatch_data","I_2520_4","I_2520_4_1","ota3ymuw",2024,2024-08-27,51.2285958,4.6120736,4,"Benedenscheldebekken",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TRUE,"<buffer","6042142",c(166996.4611656, 213212.508666096),"17603","1",NA,5.0213846558261
"craywatch_data","I_2520_4","I_2520_4_2","ota3ymuw",2024,2024-09-06,51.2285958,4.6120736,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6042142",c(166996.4611656, 213212.508666096),"17603","1",NA,5.0213846558261
"craywatch_data","I_2520_8","I_2520_8_1","zjkwzmrj",2024,2024-09-15,51.210439,4.615385,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6024234",c(167234.501861397, 211193.257327808),"17602","1",NA,1.26998596665427
"craywatch_data","I_2547_1","I_2547_1_1","zgi0mju3",2024,2024-09-20,51.1273567,4.4924606,10,"Netebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(158659.952333871, 201928.657211848),NA,NA,"ANTLNT0023",0
"craywatch_data","I_2550_2","I_2550_2_1","otjhmjg3",2024,2024-10-16,51.1391208,4.4500527,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(155689.730227688, 203233.298033349),NA,NA,"ANTKON0157",0
"craywatch_data","I_2550_3","I_2550_3_1","otjhmjg3",2024,2024-10-06,51.1426612,4.4084352,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6042715",c(152776.803081039, 203624.771941403),"3108","2",NA,0.654396411684337
"craywatch_data","I_2600_2","I_2600_2_1","zdvjmdzk",2024,2024-09-04,51.1905352,4.4293877,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(154238.710194357, 208951.869934559),NA,NA,"ANTANT0140",0
"craywatch_data","I_2610_1","I_2610_1_1","zgjhngvm",2024,2024-09-03,51.1634236,4.4021273,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(152334.301245293, 205934.404703355),NA,NA,"ANTANT0474",0
"craywatch_data","I_2610_2","I_2610_2_1","ymjlzwe4",2024,2024-08-09,51.1636463,4.3741224,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(150375.319918256, 205958.65118085),NA,NA,"ANTANT0463",0
"craywatch_data","I_2610_3","I_2610_3_1","ymjlzwe4",2024,2024-08-13,51.1653519,4.3666873,4,"Benedenscheldebekken",2,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,TRUE,"<buffer",NA,c(149855.230935766, 206148.386623145),NA,NA,"ANTANT0466",0
"craywatch_data","I_2620_1","I_2620_1_1","mgexnjex",2024,2024-10-11,51.1325115,4.3494272,4,"Benedenscheldebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","25070",c(148646.997456526, 202495.0014274),"3108","1",NA,0.563950824316109
"craywatch_data","I_2630_3","I_2630_3_1","otjhmjg3",2024,2024-10-12,51.1377952,4.3945113,4,"Benedenscheldebekken",2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(151802.56786379, 203082.98479774),NA,NA,"ANTARL0059",0
"craywatch_data","I_2640_1","I_2640_1_1","zgjhngvm",2024,2024-08-28,51.1718562,4.4609497,4,"Benedenscheldebekken",2,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.2,TRUE,"<buffer",NA,c(156447.829830221, 206876.068737159),NA,NA,"ANTMOR0002",0
