"consecutive"	"dat.source"	"year"	"date"	"CPUE_pontastacus.leptodactylus"	"CPUE_pacifastacus.leniusculus"	"pontastacus.leptodactylus"	"pacifastacus.leniusculus"	"CPUE_faxonius.limosus"	"CPUE_procambarus.clarkii"	"CPUE_procambarus.acutus"	"CPUE_procambarus.virginalis"	"CPUE_faxonius.virilis"	"faxonius.limosus"	"procambarus.clarkii"	"procambarus.acutus"	"procambarus.virginalis"	"faxonius.virilis"	"BEKNR"	"BEKNAAM"	"longitude"	"latitude"	"nearest_river_index"	"VHAG"	"CATC"	"WVLC"	"ID"	"distances_cray_VHAG_WVLC"	"sample_point"	"sample_datum_monstername"	"sample_tijdstip_monstername"	"sample_point_omschrijving"	"lambert_x"	"lambert_y"	"waterloop"	"bekken"	"gemeente"	"Cl-"	"N t"	"O2"	"BZV5"	"EC 20"	"T"	"pH"	"Secchi"	"P t"	"Ca o"	"Clfyl a"	"ZS"	"oPO4"	"distance_cray_FC"
TRUE	"craywatch_data"	2024	"2024-08-16"	0	0	0	0	0	0.75	0	0	0	0	1	0	0	0	3	"Bekken van de Gentse Kanalen"	3.5820291961409	51.2611327023211	26773	NA	NA	"OVLSTL0092"	451	0	"OW21400"	"2024-07-25"	"13:15:04"	"Sint-Jan-in-Eremo,St-Jansstraat,veldweg langs Leopoldkanaal, thv steiger"	95300.998446	217185.998386	"OOSTPOLDERKREEK"	"Bekken van de Gentse Kanalen"	"Sint-Laureins"	NA	NA	7.95	NA	4920	22.6	8.56	NA	NA	NA	NA	NA	NA	235.859413737458
TRUE	"craywatch_data"	2024	"2024-08-08"	NA	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	1	NA	NA	NA	3	"Bekken van de Gentse Kanalen"	3.57709599614256	51.2657601023192	28553	NA	NA	"OVLSTL0064"	452	0	"OW21210"	"2024-06-03; 2024-06-17; 2024-07-01; 2024-07-15; 2024-07-29; 2024-08-13; 2024-08-26"	"09:34:35; 09:32:29; 08:53:30; 09:05:59; 09:24:48; 14:10:06; 09:38:06"	"Sint-Jan-in-Eremo,Sint-Jansstraat,veldweg langs Palinghuis,opw geul"	94746.002456	217430.005078	"BLOSO SPORTCENTRUM"	"Bekken van de Gentse Kanalen"	"Sint-Laureins"	NA	NA	8.89142857142857	NA	2930	19.9428571428571	8.61	32.8571428571429	NA	NA	NA	NA	NA	183.291242158861
NA	"gbif_data"	2010	"2010-05-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	5	"Leiebekken"	3.32261999616013	50.8427500024119	5688	NA	NA	"WVLHAR0329"	614	0	"OW633050; OW633055"	"2010-06-14; 2010-06-28; 2010-07-12; 2010-07-26; 2010-08-09; 2010-08-23; 2010-06-03; 2010-06-07; 2010-06-10; 2010-06-21; 2010-07-05; 2010-07-08; 2010-07-19; 2010-08-02; 2010-08-16; 2010-08-18; 2010-08-19; 2010-08-26; 2010-08-30"	"10:26:59; 10:30:00; 09:48:00; 10:40:00; 11:00:00; 09:59:59; 10:49:59; 10:13:00; 09:25:00; 14:34:00; 10:15:00; 09:45:00; 13:30:00; 09:35:00; 09:32:00; 11:29:59; 13:31:59; 09:50:00; 09:55:00; 10:44:59; 09:52:00; 09:57:59"	"RV: De Gavers (grote vijver); steiger; RV: De Gavers (kleine vijver); zwemstrand"	76321.9970733333	170685.112221667	"DE GAVERS"	"Leiebekken"	"Harelbeke"	76.9666666666667	1.26858616666667	10.9004	1.93333333333333	658.925925925926	20.812	8.1312	181.25	0.0475	NA	NA	4.06666666666667	0.00958333333333333	111.13993763079
NA	"gbif_data"	2011	"2011-03-07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.19541999598297	51.174040002412	17821	NA	NA	"OVLSIN0209"	620	0	"OW201010; OW201040"	"2011-06-06; 2011-06-14; 2011-06-20; 2011-06-27; 2011-07-04; 2011-07-07; 2011-07-12; 2011-07-14; 2011-07-18; 2011-07-25; 2011-08-01; 2011-08-08; 2011-08-16; 2011-08-22; 2011-08-29"	"10:44:59; 10:53:00; 10:49:59; 10:30:00; 10:20:00; 10:26:00; 09:45:00; 09:41:59; 10:08:00; 10:24:59; 11:11:59; 09:55:00; 09:59:59; 10:40:00; 10:57:00; 10:53:59; 10:33:00; 10:22:00; 09:48:00; 10:13:00; 11:14:00; 10:35:00; 10:10:00; 10:06:59; 11:52:59"	"RV: De Ster; Vossekotstraat-Brokkelingenstraat,strandzone; RV: De Ster; Vossekotstraat-Brokkelingenstraat,thv steiger"	137719.501622393	207113.288244143	"DE STER"	"Benedenscheldebekken"	"Sint-Niklaas"	NA	NA	10.0160714285714	NA	272.961538461538	20.0615384615385	8.2876	153.571428571429	NA	NA	NA	NA	NA	159.499867540993
NA	"gbif_data"	2011	"2011-07-03"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.19541999598297	51.174040002412	17821	NA	NA	"OVLSIN0209"	625	0	"OW201010; OW201040"	"2011-06-06; 2011-06-14; 2011-06-20; 2011-06-27; 2011-07-04; 2011-07-07; 2011-07-12; 2011-07-14; 2011-07-18; 2011-07-25; 2011-08-01; 2011-08-08; 2011-08-16; 2011-08-22; 2011-08-29"	"10:44:59; 10:53:00; 10:49:59; 10:30:00; 10:20:00; 10:26:00; 09:45:00; 09:41:59; 10:08:00; 10:24:59; 11:11:59; 09:55:00; 09:59:59; 10:40:00; 10:57:00; 10:53:59; 10:33:00; 10:22:00; 09:48:00; 10:13:00; 11:14:00; 10:35:00; 10:10:00; 10:06:59; 11:52:59"	"RV: De Ster; Vossekotstraat-Brokkelingenstraat,strandzone; RV: De Ster; Vossekotstraat-Brokkelingenstraat,thv steiger"	137719.501622393	207113.288244143	"DE STER"	"Benedenscheldebekken"	"Sint-Niklaas"	NA	NA	10.0160714285714	NA	272.961538461538	20.0615384615385	8.2876	153.571428571429	NA	NA	NA	NA	NA	159.499867540993
NA	"gbif_data"	2011	"2011-08-09"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	10	"Netebekken"	4.96821999580445	51.2962700024629	28966	NA	NA	"ANTTUR0207"	633	0	"OW300400"	"2011-06-01; 2011-06-15; 2011-06-29; 2011-07-13; 2011-07-27; 2011-08-10; 2011-08-24"	"09:30:00; 09:08:00; 08:47:00; 08:45:00; 08:33:00; 08:31:00; 10:24:59"	"RV: De Melle; De Picken, Z-N, achter automobielinspectie"	191434.002667	220776.000129	"DE MELLE"	"Netebekken"	"Turnhout"	NA	NA	9.79571428571429	NA	192.714285714286	20.0857142857143	8.31	62.8571428571429	NA	NA	NA	NA	NA	394.076612172743
NA	"gbif_data"	2012	"2012-06-28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	8	"Dijle- en Zennebekken"	4.51068999588945	51.0222600024907	29230	NA	NA	"ANTMEC0385"	647	0	"OW377220; OW377240"	"2012-06-04; 2012-06-11; 2012-06-18; 2012-06-25; 2012-07-02; 2012-07-09; 2012-07-16; 2012-07-23; 2012-07-30; 2012-08-06; 2012-08-13; 2012-08-20; 2012-08-27; 2012-06-21; 2012-06-28"	"11:13:00; 11:29:59; 11:50:00; 12:00:00; 11:02:00; 11:34:59; 11:20:00; 10:28:00; 11:00:00; 11:40:00; 11:09:59; 11:15:00; 11:25:00; 12:05:00; 11:45:00; 12:16:00; 10:35:00; 11:47:00; 10:40:00; 11:11:00; 12:10:00"	"Prov. Sport- & Recreatiecentrum De Nekker (grote vijver); in zwemzone, thv infopaal; Prov. Sport- & Recreatiecentrum De Nekker (kleine vijver); oostelijke kant van vijvertje"	159495.069223571	190407.288842071	"DE NEKKER"	"Dijle- en Zennebekken"	"Mechelen"	NA	NA	9.32964285714286	NA	448.25	20.1928571428571	8.39884615384615	73.3928571428571	NA	NA	NA	NA	NA	493.704480149674
NA	"gbif_data"	2013	"2013-11-09"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39578999594516	51.2837000024026	29382	NA	NA	"ANTANT0297"	705	0	"OW182950"	"2013-06-10; 2013-06-24; 2013-07-09; 2013-07-22; 2013-08-06; 2013-08-19"	"13:15:59; 13:57:00; 09:12:00; 12:59:59; 12:21:00; 14:09:59"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.5316666666667	NA	1370	21.6333333333333	8.43166666666667	196.666666666667	NA	NA	NA	NA	NA	334.120272861259
NA	"gbif_data"	2013	"2013-11-23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39578999594516	51.2837000024026	29382	NA	NA	"ANTANT0297"	706	0	"OW182950"	"2013-06-10; 2013-06-24; 2013-07-09; 2013-07-22; 2013-08-06; 2013-08-19"	"13:15:59; 13:57:00; 09:12:00; 12:59:59; 12:21:00; 14:09:59"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.5316666666667	NA	1370	21.6333333333333	8.43166666666667	196.666666666667	NA	NA	NA	NA	NA	334.120272861259
NA	"gbif_data"	2013	"2013-12-15"	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	"Dijle- en Zennebekken"	4.54169999586137	50.8296900025504	11952	NA	NA	"VBRTRV0073"	707	0	"OW479700"	"2013-06-10; 2013-07-09"	"11:29:59; 11:27:00"	"Vossemvijver, Park Tervuren, Vossem, Kleine Vaartdreef, aan uitlaat"	162385.002446	168975.004842	"VOER"	"Dijle- en Zennebekken"	"Tervuren"	39	0.9375	10.925	NA	410.5	22.45	8.42	NA	0.15	NA	NA	NA	0.054	252.493911817146
NA	"gbif_data"	2014	"2014-01-26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39769999594468	51.2836000024029	29382	NA	NA	"ANTANT0297"	708	0	"OW182950"	"2014-06-02; 2014-06-16; 2014-06-30; 2014-07-14; 2014-07-28; 2014-08-11; 2014-08-25"	"12:25:00; 13:30:00; 13:15:00; 12:50:00; 12:41:59; 12:48:59; 12:30:00"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.7885714285714	NA	1368.57142857143	21.0428571428571	8.23	200	NA	NA	NA	NA	NA	465.546384093154
NA	"gbif_data"	2014	"2014-03-22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39578999594516	51.2837000024026	29382	NA	NA	"ANTANT0297"	711	0	"OW182950"	"2014-06-02; 2014-06-16; 2014-06-30; 2014-07-14; 2014-07-28; 2014-08-11; 2014-08-25"	"12:25:00; 13:30:00; 13:15:00; 12:50:00; 12:41:59; 12:48:59; 12:30:00"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.7885714285714	NA	1368.57142857143	21.0428571428571	8.23	200	NA	NA	NA	NA	NA	334.120272861259
NA	"gbif_data"	2014	"2014-04-26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39578999594516	51.2837000024026	29382	NA	NA	"ANTANT0297"	712	0	"OW182950"	"2014-06-02; 2014-06-16; 2014-06-30; 2014-07-14; 2014-07-28; 2014-08-11; 2014-08-25"	"12:25:00; 13:30:00; 13:15:00; 12:50:00; 12:41:59; 12:48:59; 12:30:00"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.7885714285714	NA	1368.57142857143	21.0428571428571	8.23	200	NA	NA	NA	NA	NA	334.120272861259
NA	"gbif_data"	2016	"2016-04-15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	"Bekken van de Brugse Polders"	3.19354999623069	51.2297700022889	14841	NA	NA	"WVLBRU1182"	761	0	"OW875460"	"2016-06-06; 2016-06-14; 2016-06-20; 2016-06-28; 2016-07-04; 2016-07-13; 2016-07-18; 2016-07-26; 2016-08-01; 2016-08-09; 2016-08-16; 2016-08-23; 2016-08-29"	"11:13:00; 10:37:00; 11:40:00; 09:44:00; 11:41:00; 10:31:00; 10:56:00; 09:01:59; 11:02:00; 08:52:00; 12:19:59; 09:18:00; 11:54:00"	"RV: Bloso domein; Sint-Pietersplas"	68223.002609	214337.997473	"SINT-PIETERSPLAS (BLOSO-CENTRUM)"	"Bekken van de Brugse Polders"	"Brugge"	NA	0.846666666666667	9.52153846153846	NA	1242.30769230769	20.5461538461538	8.52461538461538	160	0.206666666666667	NA	NA	NA	0.0025	485.832740956715
NA	"gbif_data"	2016	"2016-09-22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	"Bekken van de Brugse Polders"	3.1931799962308	51.2300000022888	14841	NA	NA	"WVLBRU1182"	799	0	"OW875460"	"2016-06-06; 2016-06-14; 2016-06-20; 2016-06-28; 2016-07-04; 2016-07-13; 2016-07-18; 2016-07-26; 2016-08-01; 2016-08-09; 2016-08-16; 2016-08-23; 2016-08-29"	"11:13:00; 10:37:00; 11:40:00; 09:44:00; 11:41:00; 10:31:00; 10:56:00; 09:01:59; 11:02:00; 08:52:00; 12:19:59; 09:18:00; 11:54:00"	"RV: Bloso domein; Sint-Pietersplas"	68223.002609	214337.997473	"SINT-PIETERSPLAS (BLOSO-CENTRUM)"	"Bekken van de Brugse Polders"	"Brugge"	NA	0.846666666666667	9.52153846153846	NA	1242.30769230769	20.5461538461538	8.52461538461538	160	0.206666666666667	NA	NA	NA	0.0025	483.411942477683
NA	"gbif_data"	2016	"2016-12-13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39117999594628	51.2835400024022	29382	NA	NA	"ANTANT0297"	824	0	"OW182950"	"2016-06-13; 2016-06-27; 2016-07-12; 2016-07-25; 2016-08-08; 2016-08-22"	"14:47:00; 13:53:59; 12:55:00; 11:45:59; 14:25:59"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.58	NA	1446.83333333333	21.5166666666667	8.34833333333333	200	NA	NA	NA	NA	NA	29.1805918780569
NA	"gbif_data"	2016	"2016-12-13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39114099594631	51.2837430024021	29382	NA	NA	"ANTANT0297"	825	0	"OW182950"	"2016-06-13; 2016-06-27; 2016-07-12; 2016-07-25; 2016-08-08; 2016-08-22"	"14:47:00; 13:53:59; 12:55:00; 11:45:59; 14:25:59"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.58	NA	1446.83333333333	21.5166666666667	8.34833333333333	200	NA	NA	NA	NA	NA	50.6587312481631
NA	"gbif_data"	2017	"2017-11-23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.39150999594622	51.2837000024021	29382	NA	NA	"ANTANT0297"	870	0	"OW182950"	"2017-06-12; 2017-06-26; 2017-07-10; 2017-07-24; 2017-08-08; 2017-08-21"	"14:38:00; 14:07:00; 13:44:00; 14:27:59; 16:22:59; 14:11:59"	"RV: Muisbroek; Ekeren; wegje tgo Churchilldok, Noorderlaan"	151554.999979	219269.998559	"OPENLUCHTCENTRUM MUISBROEK - EKEREN"	"Benedenscheldebekken"	"Antwerpen"	NA	NA	10.1883333333333	NA	1496.5	22.2333333333333	8.44833333333333	176.666666666667	NA	NA	NA	NA	NA	55.8022683381888
NA	"gbif_data"	2018	"2018-05-02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	"Bekken van de Brugse Polders"	3.19497999623046	51.2309400022887	20296	NA	NA	"WVLBRU1182"	880	0	"OW875460"	"2018-06-01; 2018-06-04; 2018-06-12; 2018-06-18; 2018-06-26; 2018-07-02; 2018-07-10; 2018-07-16; 2018-07-24; 2018-07-30; 2018-08-07; 2018-08-13; 2018-08-21; 2018-08-27"	"09:28:59; 10:21:00; 09:57:59; 11:29:59; 09:08:00; 10:12:00; 09:07:00; 10:13:00; 09:00:00; 11:22:00; 08:43:59; 11:31:00; 09:01:59; 12:09:00"	"RV: Bloso domein; Sint-Pietersplas"	68223.002609	214337.997473	"SINT-PIETERSPLAS (BLOSO-CENTRUM)"	"Bekken van de Brugse Polders"	"Brugge"	286.666666666667	0.653333333333333	9.27714285714286	NA	1178	21.9071428571429	8.48	170.714285714286	0.04	NA	NA	NA	NA	321.815187207252
NA	"gbif_data"	2018	"2018-10-15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	"Bekken van de Brugse Polders"	3.19094999623155	51.232160002288	7052	NA	NA	"WVLBRU1182"	925	0	"OW875460"	"2018-06-01; 2018-06-04; 2018-06-12; 2018-06-18; 2018-06-26; 2018-07-02; 2018-07-10; 2018-07-16; 2018-07-24; 2018-07-30; 2018-08-07; 2018-08-13; 2018-08-21; 2018-08-27"	"09:28:59; 10:21:00; 09:57:59; 11:29:59; 09:08:00; 10:12:00; 09:07:00; 10:13:00; 09:00:00; 11:22:00; 08:43:59; 11:31:00; 09:01:59; 12:09:00"	"RV: Bloso domein; Sint-Pietersplas"	68223.002609	214337.997473	"SINT-PIETERSPLAS (BLOSO-CENTRUM)"	"Bekken van de Brugse Polders"	"Brugge"	286.666666666667	0.653333333333333	9.27714285714286	NA	1178	21.9071428571429	8.48	170.714285714286	0.04	NA	NA	NA	NA	498.695227558408
